actual,predicted,correct
Rename Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Method Access Modifier,Change Method Access Modifier,True
Rename Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Extract And Move Method,Change Method Access Modifier,False
Parameterize Variable,Change Method Access Modifier,False
Parameterize Variable,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Attribute,Change Method Access Modifier,False
Rename Attribute,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Modify Class Annotation,Change Method Access Modifier,False
Remove Thrown Exception Type,Change Method Access Modifier,False
Remove Thrown Exception Type,Change Method Access Modifier,False
Remove Attribute Modifier,Change Method Access Modifier,False
Change Attribute Access Modifier,Change Method Access Modifier,False
Change Attribute Access Modifier,Change Method Access Modifier,False
Change Attribute Access Modifier,Change Method Access Modifier,False
Change Attribute Access Modifier,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Rename Class,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Remove Method Modifier,Change Method Access Modifier,False
Push Down Method,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Remove Method Modifier,Change Method Access Modifier,False
Push Down Method,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Pull Up Method,Change Method Access Modifier,False
Pull Up Method,Change Method Access Modifier,False
Pull Up Method,Change Method Access Modifier,False
Pull Up Method,Change Method Access Modifier,False
Pull Up Method,Change Method Access Modifier,False
Pull Up Method,Change Method Access Modifier,False
Pull Up Method,Change Method Access Modifier,False
Change Method Access Modifier,Change Method Access Modifier,True
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Pull Up Attribute,Change Method Access Modifier,False
Change Attribute Access Modifier,Change Method Access Modifier,False
Change Attribute Access Modifier,Change Method Access Modifier,False
Extract Superclass,Change Method Access Modifier,False
Extract And Move Method,Change Method Access Modifier,False
Extract And Move Method,Change Method Access Modifier,False
Move Attribute,Change Method Access Modifier,False
Move Attribute,Change Method Access Modifier,False
Move Attribute,Change Method Access Modifier,False
Extract Superclass,Change Method Access Modifier,False
Change Class Access Modifier,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Rename Class,Change Method Access Modifier,False
Rename Class,Change Method Access Modifier,False
Rename Class,Change Method Access Modifier,False
Rename Method,Change Method Access Modifier,False
Invert Condition,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Change Method Access Modifier,Change Method Access Modifier,True
Remove Parameter,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Rename Attribute,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Inline Variable,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Rename Attribute,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Rename Attribute,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Rename Attribute,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Rename Attribute,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Rename Attribute,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Rename Method,Change Method Access Modifier,False
Change Attribute Access Modifier,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Inline Variable,Change Method Access Modifier,False
Rename Variable,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Add Thrown Exception Type,Change Method Access Modifier,False
Add Thrown Exception Type,Change Method Access Modifier,False
Add Thrown Exception Type,Change Method Access Modifier,False
Add Thrown Exception Type,Change Method Access Modifier,False
Add Thrown Exception Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Add Variable Modifier,Change Method Access Modifier,False
Add Thrown Exception Type,Change Method Access Modifier,False
Add Thrown Exception Type,Change Method Access Modifier,False
Add Thrown Exception Type,Change Method Access Modifier,False
